word,clue
प्राण,life force or vital air
प्रवाह,flow
प्रसरण,diffusion
प्रकम्पन,vibration
प्रेरण,induction
प्रकाश,light
प्रतिक्रिया,reaction
प्रकृति,nature
प्रमाण,measurement
प्रवेश,entry
प्रसार,expansion
प्रेरक,catalyst or stimulant
प्रमिति,dimension
प्रसव,biological birth process
प्रक्रिया,process
वायु,air
वायुदाब,air pressure
वायुप्रवाह,air flow
वायुसंचार,ventilation
वायुगति,air velocity
रक्त,blood
रक्तप्रवाह,blood flow
रक्तदाब,blood pressure
रक्तवाहिनी,blood vessel
रक्तसंचार,blood circulation
रक्तनाड़ी,blood pulse vessel
रक्तपरिवहन,blood transport
नाड़ी,pulse
नाडीगति,pulse rate
नाडीस्पन्दन,pulse beat
नाडीतन्त्र,nervous system
हृदय,heart
हृदयगति,heart rate
हृदयस्पन्दन,heartbeat
हृदयसंचार,cardiac circulation
हृदयपेशी,cardiac muscle
धमनी,artery
धमनीप्रवाह,arterial flow
धमनीदाब,arterial pressure
शिरा,vein
शिराप्रवाह,venous flow
शिरासंचार,venous circulation
द्रव,fluid
द्रवप्रवाह,fluid flow
द्रवदाब,fluid pressure
द्रवगति,fluid motion
द्रवगतिकी,fluid dynamics
द्रव्यमान,mass
द्रव्यगुण,material property
द्रव्यसंरचना,material structure
ताप,heat
तापमान,temperature
तापप्रवाह,heat flow
तापसंचार,heat transfer
ऊर्जा,energy
ऊर्जाप्रवाह,energy flow
ऊर्जासंचार,energy transfer
ऊर्जारूप,form of energy
गति,motion
गतिजऊर्जा,kinetic energy
गतिवेग,velocity
गतिक्रम,kinematic sequence
संवेग,momentum
संवेगपरिवर्तन,change in momentum
संवहन,convection
संवहनप्रवाह,convective flow
परिवर्तन,change
परिसंचार,circulation
परिवहन,transport
परिस्पन्दन,oscillation
नियन्त्रण,control
नियामक,regulator
मापन,measurement
मापक,measuring instrument
मितिः,dimension
प्रमापक,measuring device
संरचना,structure
संचार,transmission
संयोग,combination
संवेदना,sensation
प्रणाली,system
तन्त्र,system or mechanism
तन्त्रिका,nerve
तन्त्रिकातन्त्र,nervous system